"","year","species_name","log_mean_cpue"
"1",1977,"capelin",-0.370490680412409
"2",1977,"eulachon",-4.60517018598809
"3",1977,"jellyfish",-4.60517018598809
"4",1977,"Pacific cod",-4.60517018598809
"5",1977,"pink shrimp (or northern shrimp)",5.97595893953667
"6",1977,"spiny dogfish shark",-4.60517018598809
"7",1977,"walleye pollock",5.87293402112315
"8",1978,"capelin",0.823291274268081
"9",1978,"eulachon",-4.60517018598809
"10",1978,"jellyfish",-4.60517018598809
"11",1978,"Pacific cod",0.394869327323211
"12",1978,"pink shrimp (or northern shrimp)",6.71358213103275
"13",1978,"spiny dogfish shark",-4.60517018598809
"14",1978,"walleye pollock",3.71504730678238
"15",1979,"capelin",2.02916758314239
"16",1979,"eulachon",-4.60517018598809
"17",1979,"jellyfish",1.15850856470523
"18",1979,"Pacific cod",-4.60517018598809
"19",1979,"pink shrimp (or northern shrimp)",5.27793061117799
"20",1979,"spiny dogfish shark",-4.60517018598809
"21",1979,"walleye pollock",-4.60517018598809
"22",1980,"capelin",0.105793869345963
"23",1980,"eulachon",-0.768739637194442
"24",1980,"jellyfish",0.980872609512223
"25",1980,"Pacific cod",0.266962513884645
"26",1980,"pink shrimp (or northern shrimp)",5.52691624076932
"27",1980,"spiny dogfish shark",-4.60517018598809
"28",1980,"walleye pollock",-0.637908175086421
"29",1981,"capelin",-0.732263653343662
"30",1981,"eulachon",-4.60517018598809
"31",1981,"jellyfish",1.24048829201392
"32",1981,"Pacific cod",1.27517500004409
"33",1981,"pink shrimp (or northern shrimp)",6.03539576518148
"34",1981,"spiny dogfish shark",-4.60517018598809
"35",1981,"walleye pollock",2.40577739239228
"36",1982,"capelin",-2.75500315446687
"37",1982,"eulachon",0.362396586916507
"38",1982,"jellyfish",0.412765191008687
"39",1982,"Pacific cod",4.26177920364243
"40",1982,"pink shrimp (or northern shrimp)",4.24388990425029
"41",1982,"spiny dogfish shark",-1.53164173799997
"42",1982,"walleye pollock",4.51760567255031
"43",1983,"capelin",-2.89390337017652
"44",1983,"eulachon",-4.60517018598809
"45",1983,"jellyfish",3.20805904463659
"46",1983,"Pacific cod",0.439692409604124
"47",1983,"pink shrimp (or northern shrimp)",1.02135025800624
"48",1983,"spiny dogfish shark",-4.60517018598809
"49",1983,"walleye pollock",2.57750963433196
"50",1984,"capelin",-4.60517018598809
"51",1984,"eulachon",-4.60517018598809
"52",1984,"jellyfish",3.02765063187201
"53",1984,"Pacific cod",2.77490455064063
"54",1984,"pink shrimp (or northern shrimp)",4.08227221929913
"55",1984,"spiny dogfish shark",-4.60517018598809
"56",1984,"walleye pollock",-0.00723260223253695
"57",1986,"capelin",-3.42651518964645
"58",1986,"eulachon",-2.09151412291411
"59",1986,"jellyfish",0.601305976894365
"60",1986,"Pacific cod",4.85408284343626
"61",1986,"pink shrimp (or northern shrimp)",3.98875253828682
"62",1986,"spiny dogfish shark",-4.60517018598809
"63",1986,"walleye pollock",4.32427171943293
"64",1987,"capelin",-1.71424929560022
"65",1987,"eulachon",0.355918099543609
"66",1987,"jellyfish",2.21251170057159
"67",1987,"Pacific cod",2.80050138406889
"68",1987,"pink shrimp (or northern shrimp)",3.22172104268918
"69",1987,"spiny dogfish shark",-4.60517018598809
"70",1987,"walleye pollock",4.20427842871937
"71",1989,"capelin",-0.899194218845295
"72",1989,"eulachon",0.631850252652122
"73",1989,"jellyfish",3.65676541513348
"74",1989,"Pacific cod",2.10796172417296
"75",1989,"pink shrimp (or northern shrimp)",3.69833793789726
"76",1989,"spiny dogfish shark",-4.60517018598809
"77",1989,"walleye pollock",4.74785872086819
"78",1990,"capelin",-4.60517018598809
"79",1990,"eulachon",-4.60517018598809
"80",1990,"jellyfish",-4.60517018598809
"81",1990,"Pacific cod",2.20627763006818
"82",1990,"pink shrimp (or northern shrimp)",3.34496288646613
"83",1990,"spiny dogfish shark",-4.60517018598809
"84",1990,"walleye pollock",3.17067666187317
"85",1992,"capelin",-4.60517018598809
"86",1992,"eulachon",0.601244564899093
"87",1992,"jellyfish",2.98654356403037
"88",1992,"Pacific cod",2.2707576785438
"89",1992,"pink shrimp (or northern shrimp)",4.09494435620024
"90",1992,"spiny dogfish shark",-4.60517018598809
"91",1992,"walleye pollock",5.23053087572508
"92",1995,"capelin",-4.60517018598809
"93",1995,"eulachon",-4.60517018598809
"94",1995,"jellyfish",2.3207719584981
"95",1995,"Pacific cod",2.16253459346337
"96",1995,"pink shrimp (or northern shrimp)",2.9744816577262
"97",1995,"spiny dogfish shark",-0.418556866868154
"98",1995,"walleye pollock",5.0003548189071
"99",1998,"capelin",-3.55534808533127
"100",1998,"eulachon",-4.60517018598809
"101",1998,"jellyfish",3.09719233437833
"102",1998,"Pacific cod",1.88338319924331
"103",1998,"pink shrimp (or northern shrimp)",2.3849547658042
"104",1998,"spiny dogfish shark",1.10194007876078
"105",1998,"walleye pollock",4.79983194661313
"106",2001,"capelin",-2.83433433448758
"107",2001,"eulachon",-0.858042258441446
"108",2001,"jellyfish",2.94575273988218
"109",2001,"Pacific cod",-4.60517018598809
"110",2001,"pink shrimp (or northern shrimp)",4.36010815350641
"111",2001,"spiny dogfish shark",-4.60517018598809
"112",2001,"walleye pollock",2.96514418195301
"113",2002,"capelin",-4.60517018598809
"114",2002,"eulachon",-0.0434295630240778
"115",2002,"jellyfish",3.54968921847659
"116",2002,"Pacific cod",1.13059533644544
"117",2002,"pink shrimp (or northern shrimp)",2.51426320570228
"118",2002,"spiny dogfish shark",-4.60517018598809
"119",2002,"walleye pollock",4.62895995248333
"120",2003,"capelin",-4.60517018598809
"121",2003,"eulachon",-1.00200425014818
"122",2003,"jellyfish",2.18877630924289
"123",2003,"Pacific cod",2.31634710818478
"124",2003,"pink shrimp (or northern shrimp)",3.19557794007245
"125",2003,"spiny dogfish shark",1.57069708836629
"126",2003,"walleye pollock",4.69314182505598
"127",2004,"capelin",-4.60517018598809
"128",2004,"eulachon",1.85028388345569
"129",2004,"jellyfish",2.20652836381856
"130",2004,"Pacific cod",1.15254792233375
"131",2004,"pink shrimp (or northern shrimp)",1.80469627791646
"132",2004,"spiny dogfish shark",1.65775178066372
"133",2004,"walleye pollock",5.25239253542442
"134",2005,"capelin",-4.60517018598809
"135",2005,"eulachon",-1.39426069583461
"136",2005,"jellyfish",4.01175592307049
"137",2005,"Pacific cod",1.92570741790587
"138",2005,"pink shrimp (or northern shrimp)",2.46786599251366
"139",2005,"spiny dogfish shark",1.94222990614225
"140",2005,"walleye pollock",4.61857621267463
"141",2006,"capelin",-4.60517018598809
"142",2006,"eulachon",-1.38815382530365
"143",2006,"jellyfish",2.19377043447705
"144",2006,"Pacific cod",1.90253387777879
"145",2006,"pink shrimp (or northern shrimp)",2.265079492001
"146",2006,"spiny dogfish shark",0.317934110665575
"147",2006,"walleye pollock",4.51762013418896
"148",2007,"capelin",-3.94934333961843
"149",2007,"eulachon",-1.47601176405343
"150",2007,"jellyfish",3.26741039714241
"151",2007,"Pacific cod",1.66605449736396
"152",2007,"pink shrimp (or northern shrimp)",1.23613350557135
"153",2007,"spiny dogfish shark",0.514319491637414
"154",2007,"walleye pollock",6.08774612225629
"155",2008,"capelin",-4.60517018598809
"156",2008,"eulachon",-0.0854030757713352
"157",2008,"jellyfish",3.8908303589055
"158",2008,"Pacific cod",2.50736099326386
"159",2008,"pink shrimp (or northern shrimp)",2.25918255107505
"160",2008,"spiny dogfish shark",-4.60517018598809
"161",2008,"walleye pollock",4.96720216555278
"162",2009,"capelin",-4.60517018598809
"163",2009,"eulachon",0.386718716258135
"164",2009,"jellyfish",2.94775568478433
"165",2009,"Pacific cod",3.42259641964681
"166",2009,"pink shrimp (or northern shrimp)",0.988895463191142
"167",2009,"spiny dogfish shark",-4.60517018598809
"168",2009,"walleye pollock",6.14929084258116
"169",2010,"capelin",-4.42544226803639
"170",2010,"eulachon",-4.60517018598809
"171",2010,"jellyfish",2.35646309751787
"172",2010,"Pacific cod",1.33324513164981
"173",2010,"pink shrimp (or northern shrimp)",2.26091787565702
"174",2010,"spiny dogfish shark",0.0968242134910408
"175",2010,"walleye pollock",5.2299546501268
"176",2011,"capelin",-4.60517018598809
"177",2011,"eulachon",-0.736004627552546
"178",2011,"jellyfish",3.27089937625204
"179",2011,"Pacific cod",1.95072000549338
"180",2011,"pink shrimp (or northern shrimp)",3.35377639327141
"181",2011,"spiny dogfish shark",1.09819553874954
"182",2011,"walleye pollock",5.12701202107634
"183",2012,"capelin",-4.60517018598809
"184",2012,"eulachon",1.13840863147858
"185",2012,"jellyfish",2.52322276609115
"186",2012,"Pacific cod",2.94968833211916
"187",2012,"pink shrimp (or northern shrimp)",2.90115456121943
"188",2012,"spiny dogfish shark",0.522507117228643
"189",2012,"walleye pollock",5.90846906221703
"190",2013,"capelin",-4.60517018598809
"191",2013,"eulachon",-0.147929106403645
"192",2013,"jellyfish",2.54536219346555
"193",2013,"Pacific cod",3.51079891394122
"194",2013,"pink shrimp (or northern shrimp)",3.39712089327898
"195",2013,"spiny dogfish shark",-0.977501440740579
"196",2013,"walleye pollock",5.06863728030248
"197",2014,"capelin",-4.60517018598809
"198",2014,"eulachon",0.0436206304584606
"199",2014,"jellyfish",1.36127805843927
